,Survived,Pclass,Sex,Age,Fare,C,Q,S,Group,Master,Miss,Mr,Mrs,AgeGroup
98,1,2,1.0,34.0,23.0,0,0,1,1.0,0,0,0,1,30
99,0,2,0.0,34.0,26.0,0,0,1,1.0,0,0,1,0,30
100,0,1,1.0,28.0,7.8958,0,0,1,0.0,0,1,0,0,20
101,0,1,0.0,29.550681762601315,7.8958,0,0,1,0.0,0,0,1,0,20
102,0,3,0.0,21.0,77.2875,0,0,1,1.0,0,0,1,0,20
103,0,1,0.0,33.0,8.6542,0,0,1,0.0,0,0,1,0,30
104,0,1,0.0,37.0,7.925,0,0,1,1.0,0,0,1,0,30
105,0,1,0.0,28.0,7.8958,0,0,1,0.0,0,0,1,0,20
106,1,1,1.0,21.0,7.65,0,0,1,0.0,0,1,0,0,20
107,1,1,0.0,29.550681762601315,7.775,0,0,1,0.0,0,0,1,0,20
108,0,1,0.0,38.0,7.8958,0,0,1,0.0,0,0,1,0,30
109,1,1,1.0,9.965444864692493,24.15,0,1,0,1.0,0,1,0,0,1
110,0,3,0.0,47.0,52.0,0,0,1,1.0,0,0,1,0,40
111,0,1,1.0,14.5,14.4542,1,0,0,1.0,0,1,0,0,10
112,0,1,0.0,22.0,8.05,0,0,1,0.0,0,0,1,0,20
113,0,1,1.0,20.0,9.825,0,0,1,1.0,0,1,0,0,10
114,0,1,1.0,17.0,14.4583,1,0,0,1.0,0,1,0,0,10
115,0,1,0.0,21.0,7.925,0,0,1,0.0,0,0,1,0,20
116,0,1,0.0,70.5,7.75,0,1,0,0.0,0,0,1,0,70
117,0,2,0.0,29.0,21.0,0,0,1,1.0,0,0,1,0,20
118,0,3,0.0,24.0,247.5208,1,0,0,1.0,0,0,1,0,20
119,0,1,1.0,2.0,31.275,0,0,1,1.0,0,1,0,0,1
120,0,2,0.0,21.0,73.5,0,0,1,1.0,0,0,1,0,20
121,0,1,0.0,29.550681762601315,8.05,0,0,1,0.0,0,0,1,0,20
122,0,2,0.0,32.5,30.0708,1,0,0,1.0,0,0,1,0,30
123,1,2,1.0,32.5,13.0,0,0,1,0.0,0,1,0,0,30
124,0,3,0.0,54.0,77.2875,0,0,1,1.0,0,0,1,0,50
125,1,1,0.0,12.0,11.2417,1,0,0,1.0,1,0,0,0,10
126,0,1,0.0,29.550681762601315,7.75,0,1,0,0.0,0,0,1,0,20
127,1,1,0.0,24.0,7.1417,0,0,1,0.0,0,0,1,0,20
128,1,1,1.0,9.965444864692493,22.3583,1,0,0,1.0,0,1,0,0,1
129,0,1,0.0,45.0,6.975,0,0,1,0.0,0,0,1,0,40
130,0,1,0.0,33.0,7.8958,1,0,0,0.0,0,0,1,0,30
131,0,1,0.0,20.0,7.05,0,0,1,0.0,0,0,1,0,10
132,0,1,1.0,47.0,14.5,0,0,1,1.0,0,0,0,1,40
133,1,2,1.0,29.0,26.0,0,0,1,1.0,0,0,0,1,20
134,0,2,0.0,25.0,13.0,0,0,1,0.0,0,0,1,0,20
135,0,2,0.0,23.0,15.0458,1,0,0,0.0,0,0,1,0,20
136,1,3,1.0,19.0,26.2833,0,0,1,1.0,0,1,0,0,10
137,0,3,0.0,37.0,53.1,0,0,1,1.0,0,0,1,0,30
138,0,1,0.0,16.0,9.2167,0,0,1,1.0,0,0,1,0,10
139,0,3,0.0,24.0,79.2,1,0,0,1.0,0,0,1,0,20
140,0,1,1.0,32.508197431460786,15.2458,1,0,0,1.0,0,0,0,1,30
141,1,1,1.0,22.0,7.75,0,0,1,0.0,0,1,0,0,20
142,1,1,1.0,24.0,15.85,0,0,1,1.0,0,0,0,1,20
143,0,1,0.0,19.0,6.75,0,1,0,0.0,0,0,1,0,10
144,0,2,0.0,18.0,11.5,0,0,1,0.0,0,0,1,0,10
145,0,2,0.0,19.0,36.75,0,0,1,1.0,0,0,1,0,10
146,1,1,0.0,27.0,7.7958,0,0,1,0.0,0,0,1,0,20
147,0,1,1.0,9.0,34.375,0,0,1,1.0,0,1,0,0,1
148,0,2,0.0,36.5,26.0,0,0,1,1.0,0,0,1,0,30
149,0,2,0.0,42.0,13.0,0,0,1,0.0,0,0,1,0,40
150,0,2,0.0,51.0,12.525,0,0,1,0.0,0,0,1,0,50
151,1,3,1.0,22.0,66.6,0,0,1,1.0,0,0,0,1,20
152,0,1,0.0,55.5,8.05,0,0,1,0.0,0,0,1,0,50
153,0,1,0.0,40.5,14.5,0,0,1,1.0,0,0,1,0,40
154,0,1,0.0,29.550681762601315,7.3125,0,0,1,0.0,0,0,1,0,20
155,0,3,0.0,51.0,61.3792,1,0,0,1.0,0,0,1,0,50
156,1,1,1.0,16.0,7.7333,0,1,0,0.0,0,1,0,0,10
157,0,1,0.0,30.0,8.05,0,0,1,0.0,0,0,1,0,20
158,0,1,0.0,29.550681762601315,8.6625,0,0,1,0.0,0,0,1,0,20
159,0,1,0.0,5.310913898963,69.55,0,0,1,1.0,1,0,0,0,1
160,0,1,0.0,44.0,16.1,0,0,1,1.0,0,0,1,0,40
161,1,2,1.0,40.0,15.75,0,0,1,0.0,0,0,0,1,30
162,0,1,0.0,26.0,7.775,0,0,1,0.0,0,0,1,0,20
163,0,1,0.0,17.0,8.6625,0,0,1,0.0,0,0,1,0,10
164,0,1,0.0,1.0,39.6875,0,0,1,1.0,1,0,0,0,1
165,1,1,0.0,9.0,20.525,0,0,1,1.0,1,0,0,0,1
166,1,3,1.0,39.916408721218616,55.0,0,0,1,1.0,0,0,0,1,30
167,0,1,1.0,45.0,27.9,0,0,1,1.0,0,0,0,1,40
168,0,3,0.0,46.049578020368024,25.925,0,0,1,0.0,0,0,1,0,40
169,0,1,0.0,28.0,56.4958,0,0,1,1.0,0,0,1,0,20
170,0,3,0.0,61.0,33.5,0,0,1,0.0,0,0,1,0,60
171,0,1,0.0,4.0,29.125,0,1,0,1.0,1,0,0,0,1
172,1,1,1.0,1.0,11.1333,0,0,1,1.0,0,1,0,0,1
173,0,1,0.0,21.0,7.925,0,0,1,0.0,0,0,1,0,20
174,0,3,0.0,56.0,30.6958,1,0,0,0.0,0,0,1,0,50
175,0,1,0.0,18.0,7.8542,0,0,1,1.0,0,0,1,0,10
176,0,1,0.0,5.310913898963,25.4667,0,0,1,1.0,1,0,0,0,1
177,0,3,1.0,50.0,28.7125,1,0,0,0.0,0,1,0,0,40
178,0,2,0.0,30.0,13.0,0,0,1,0.0,0,0,1,0,20
179,0,1,0.0,36.0,0.0,0,0,1,1.0,0,0,1,0,30
180,0,1,1.0,9.965444864692493,69.55,0,0,1,1.0,0,1,0,0,1
181,0,2,0.0,34.20910602740714,15.05,1,0,0,0.0,0,0,1,0,30
182,0,1,0.0,9.0,31.3875,0,0,1,1.0,1,0,0,0,1
183,1,2,0.0,1.0,39.0,0,0,1,1.0,1,0,0,0,1
184,1,1,1.0,4.0,22.025,0,0,1,1.0,0,1,0,0,1
185,0,3,0.0,46.049578020368024,50.0,0,0,1,0.0,0,0,1,0,40
186,1,1,1.0,32.508197431460786,15.5,0,1,0,1.0,0,0,0,1,30
187,1,3,0.0,45.0,26.55,0,0,1,0.0,0,0,1,0,40
188,0,1,0.0,40.0,15.5,0,1,0,1.0,0,0,1,0,30
189,0,1,0.0,36.0,7.8958,0,0,1,0.0,0,0,1,0,30
190,1,2,1.0,32.0,13.0,0,0,1,0.0,0,0,0,1,30
191,0,2,0.0,19.0,13.0,0,0,1,0.0,0,0,1,0,10
192,1,1,1.0,19.0,7.8542,0,0,1,1.0,0,1,0,0,10
193,1,2,0.0,3.0,26.0,0,0,1,1.0,1,0,0,0,1
194,1,3,1.0,44.0,27.7208,1,0,0,0.0,0,0,0,1,40
195,1,3,1.0,58.0,146.5208,1,0,0,1.0,0,1,0,0,50
196,0,1,0.0,29.550681762601315,7.75,0,1,0,0.0,0,0,1,0,20
197,0,1,0.0,42.0,8.4042,0,0,1,1.0,0,0,1,0,40
198,1,1,1.0,22.840274006657104,7.75,0,1,0,0.0,0,1,0,0,20
199,0,2,1.0,24.0,13.0,0,0,1,0.0,0,1,0,0,20
200,0,1,0.0,28.0,9.5,0,0,1,0.0,0,0,1,0,20
201,0,1,0.0,26.643349472847486,69.55,0,0,1,1.0,0,0,1,0,20
202,0,1,0.0,34.0,6.4958,0,0,1,0.0,0,0,1,0,30
203,0,1,0.0,45.5,7.225,1,0,0,0.0,0,0,1,0,40
204,1,1,0.0,18.0,8.05,0,0,1,0.0,0,0,1,0,10
205,0,1,1.0,2.0,10.4625,0,0,1,1.0,0,1,0,0,1
206,0,1,0.0,32.0,15.85,0,0,1,1.0,0,0,1,0,30
207,1,1,0.0,26.0,18.7875,1,0,0,1.0,0,0,1,0,20
208,1,1,1.0,16.0,7.75,0,1,0,0.0,0,1,0,0,10
209,1,3,0.0,40.0,31.0,1,0,0,0.0,0,0,1,0,30
210,0,1,0.0,24.0,7.05,0,0,1,0.0,0,0,1,0,20
211,1,2,1.0,35.0,21.0,0,0,1,0.0,0,1,0,0,30
212,0,1,0.0,22.0,7.25,0,0,1,0.0,0,0,1,0,20
213,0,2,0.0,30.0,13.0,0,0,1,0.0,0,0,1,0,20
214,0,1,0.0,26.643349472847486,7.75,0,1,0,1.0,0,0,1,0,20
215,1,3,1.0,31.0,113.275,1,0,0,1.0,0,1,0,0,30
216,1,1,1.0,27.0,7.925,0,0,1,0.0,0,1,0,0,20
217,0,2,0.0,42.0,27.0,0,0,1,1.0,0,0,1,0,40
218,1,3,1.0,32.0,76.2917,1,0,0,0.0,0,1,0,0,30
219,0,2,0.0,30.0,10.5,0,0,1,0.0,0,0,1,0,20
220,1,1,0.0,16.0,8.05,0,0,1,0.0,0,0,1,0,10
221,0,2,0.0,27.0,13.0,0,0,1,0.0,0,0,1,0,20
222,0,1,0.0,51.0,8.05,0,0,1,0.0,0,0,1,0,50
223,0,1,0.0,29.550681762601315,7.8958,0,0,1,0.0,0,0,1,0,20
224,1,3,0.0,38.0,90.0,0,0,1,1.0,0,0,1,0,30
225,0,1,0.0,22.0,9.35,0,0,1,0.0,0,0,1,0,20
226,1,2,0.0,19.0,10.5,0,0,1,0.0,0,0,1,0,10
227,0,1,0.0,20.5,7.25,0,0,1,0.0,0,0,1,0,20
228,0,2,0.0,18.0,13.0,0,0,1,0.0,0,0,1,0,10
229,0,1,1.0,9.965444864692493,25.4667,0,0,1,1.0,0,1,0,0,1
230,1,3,1.0,35.0,83.475,0,0,1,1.0,0,0,0,1,30
231,0,1,0.0,29.0,7.775,0,0,1,0.0,0,0,1,0,20
232,0,2,0.0,59.0,13.5,0,0,1,0.0,0,0,1,0,50
233,1,1,1.0,5.0,31.3875,0,0,1,1.0,0,1,0,0,1
234,0,2,0.0,24.0,10.5,0,0,1,0.0,0,0,1,0,20
235,0,1,1.0,22.840274006657104,7.55,0,0,1,0.0,0,1,0,0,20
236,0,2,0.0,44.0,26.0,0,0,1,1.0,0,0,1,0,40
237,1,2,1.0,8.0,26.25,0,0,1,1.0,0,1,0,0,1
238,0,2,0.0,19.0,10.5,0,0,1,0.0,0,0,1,0,10
239,0,2,0.0,33.0,12.275,0,0,1,0.0,0,0,1,0,30
240,0,1,1.0,9.965444864692493,14.4542,1,0,0,1.0,0,1,0,0,1
241,1,1,1.0,9.965444864692493,15.5,0,1,0,1.0,0,1,0,0,1
242,0,2,0.0,29.0,10.5,0,0,1,0.0,0,0,1,0,20
243,0,1,0.0,22.0,7.125,0,0,1,0.0,0,0,1,0,20
244,0,1,0.0,30.0,7.225,1,0,0,0.0,0,0,1,0,20
245,0,3,0.0,44.0,90.0,0,1,0,1.0,0,0,1,0,40
246,0,1,1.0,25.0,7.775,0,0,1,0.0,0,1,0,0,20
247,1,2,1.0,24.0,14.5,0,0,1,1.0,0,0,0,1,20
248,1,3,0.0,37.0,52.5542,0,0,1,1.0,0,0,1,0,30
249,0,2,0.0,54.0,26.0,0,0,1,1.0,0,0,1,0,50
250,0,1,0.0,29.550681762601315,7.25,0,0,1,0.0,0,0,1,0,20
251,0,1,1.0,29.0,10.4625,0,0,1,1.0,0,0,0,1,20
252,0,3,0.0,62.0,26.55,0,0,1,0.0,0,0,1,0,60
253,0,1,0.0,30.0,16.1,0,0,1,1.0,0,0,1,0,20
254,0,1,1.0,41.0,20.2125,0,0,1,1.0,0,0,0,1,40
255,1,1,1.0,29.0,15.2458,1,0,0,1.0,0,0,0,1,20
256,1,3,1.0,46.29042386288727,79.2,1,0,0,0.0,0,0,0,1,40
257,1,3,1.0,30.0,86.5,0,0,1,1.0,0,1,0,0,20
259,1,2,1.0,50.0,26.0,0,0,1,1.0,0,0,0,1,40
260,0,1,0.0,29.550681762601315,7.75,0,1,0,0.0,0,0,1,0,20
261,1,1,0.0,3.0,31.3875,0,0,1,1.0,1,0,0,0,1
262,0,3,0.0,52.0,79.65,0,0,1,1.0,0,0,1,0,50
263,0,3,0.0,40.0,0.0,0,0,1,0.0,0,0,1,0,30
264,0,1,1.0,22.840274006657104,7.75,0,1,0,0.0,0,1,0,0,20
265,0,2,0.0,36.0,10.5,0,0,1,0.0,0,0,1,0,30
266,0,1,0.0,16.0,39.6875,0,0,1,1.0,0,0,1,0,10
267,1,1,0.0,25.0,7.775,0,0,1,1.0,0,0,1,0,20
268,1,3,1.0,58.0,153.4625,0,0,1,1.0,0,0,0,1,50
269,1,3,1.0,35.0,135.6333,0,0,1,1.0,0,1,0,0,30
270,0,3,0.0,38.77262287223944,31.0,0,0,1,1.0,0,0,1,0,30
271,1,1,0.0,25.0,0.0,0,0,1,1.0,0,0,1,0,20
272,1,2,1.0,41.0,19.5,0,0,1,1.0,0,0,0,1,40
273,0,3,0.0,37.0,29.7,1,0,0,1.0,0,0,1,0,30
274,1,1,1.0,22.840274006657104,7.75,0,1,0,0.0,0,1,0,0,20
275,1,3,1.0,63.0,77.9583,0,0,1,1.0,0,1,0,0,60
276,0,1,1.0,45.0,7.75,0,0,1,0.0,0,1,0,0,40
277,0,2,0.0,32.962771039555705,0.0,0,0,1,1.0,0,0,1,0,30
278,0,1,0.0,7.0,29.125,0,1,0,1.0,1,0,0,0,1
279,1,1,1.0,35.0,20.25,0,0,1,1.0,0,0,0,1,30
280,0,1,0.0,65.0,7.75,0,1,0,0.0,0,0,1,0,60
281,0,1,0.0,28.0,7.8542,0,0,1,0.0,0,0,1,0,20
282,0,1,0.0,16.0,9.5,0,0,1,0.0,0,0,1,0,10
283,1,1,0.0,19.0,8.05,0,0,1,0.0,0,0,1,0,10
284,0,3,0.0,46.049578020368024,26.0,0,0,1,0.0,0,0,1,0,40
285,0,1,0.0,33.0,8.6625,1,0,0,0.0,0,0,1,0,30
286,1,1,0.0,30.0,9.5,0,0,1,0.0,0,0,1,0,20
287,0,1,0.0,22.0,7.8958,0,0,1,0.0,0,0,1,0,20
288,1,2,0.0,42.0,13.0,0,0,1,0.0,0,0,1,0,40
289,1,1,1.0,22.0,7.75,0,1,0,0.0,0,1,0,0,20
290,1,3,1.0,26.0,78.85,0,0,1,1.0,0,1,0,0,20
291,1,3,1.0,19.0,91.0792,1,0,0,1.0,0,0,0,1,10
292,0,2,0.0,36.0,12.875,1,0,0,0.0,0,0,1,0,30
293,0,1,1.0,24.0,8.85,0,0,1,0.0,0,1,0,0,20
294,0,1,0.0,24.0,7.8958,0,0,1,0.0,0,0,1,0,20
295,0,3,0.0,46.049578020368024,27.7208,1,0,0,0.0,0,0,1,0,40
296,0,1,0.0,23.5,7.2292,1,0,0,0.0,0,0,1,0,20
297,0,3,1.0,2.0,151.55,0,0,1,1.0,0,1,0,0,1
298,1,3,0.0,46.049578020368024,30.5,0,0,1,0.0,0,0,1,0,40
299,1,3,1.0,50.0,247.5208,1,0,0,1.0,0,0,0,1,40
300,1,1,1.0,22.840274006657104,7.75,0,1,0,0.0,0,1,0,0,20
301,1,1,0.0,26.643349472847486,23.25,0,1,0,1.0,0,0,1,0,20
302,0,1,0.0,19.0,0.0,0,0,1,1.0,0,0,1,0,10
303,1,2,1.0,30.795878914502996,12.35,0,1,0,0.0,0,1,0,0,30
304,0,1,0.0,29.550681762601315,8.05,0,0,1,0.0,0,0,1,0,20
305,1,3,0.0,0.92,151.55,0,0,1,1.0,1,0,0,0,1
306,1,3,1.0,28.473939181365832,110.8833,1,0,0,1.0,0,1,0,0,20
307,1,3,1.0,17.0,108.9,1,0,0,1.0,0,0,0,1,10
308,0,2,0.0,30.0,24.0,1,0,0,1.0,0,0,1,0,20
309,1,3,1.0,30.0,56.9292,1,0,0,1.0,0,1,0,0,20
310,1,3,1.0,24.0,83.1583,1,0,0,1.0,0,1,0,0,20
311,1,3,1.0,18.0,262.375,1,0,0,1.0,0,1,0,0,10
312,0,2,1.0,26.0,26.0,0,0,1,1.0,0,0,0,1,20
313,0,1,0.0,28.0,7.8958,0,0,1,0.0,0,0,1,0,20
314,0,2,0.0,43.0,26.25,0,0,1,1.0,0,0,1,0,40
315,1,1,1.0,26.0,7.8542,0,0,1,0.0,0,1,0,0,20
316,1,2,1.0,24.0,26.0,0,0,1,1.0,0,0,0,1,20
317,0,2,0.0,54.0,14.0,0,0,1,0.0,0,0,1,0,50
318,1,3,1.0,31.0,164.8667,0,0,1,1.0,0,1,0,0,30
319,1,3,1.0,40.0,134.5,1,0,0,1.0,0,0,0,1,30
320,0,1,0.0,22.0,7.25,0,0,1,0.0,0,0,1,0,20
321,0,1,0.0,27.0,7.8958,0,0,1,0.0,0,0,1,0,20
322,1,2,1.0,30.0,12.35,0,1,0,0.0,0,1,0,0,20
323,1,2,1.0,22.0,29.0,0,0,1,1.0,0,0,0,1,20
324,0,1,0.0,26.643349472847486,69.55,0,0,1,1.0,0,0,1,0,20
325,1,3,1.0,36.0,135.6333,1,0,0,1.0,0,1,0,0,30
326,0,1,0.0,61.0,6.2375,0,0,1,0.0,0,0,1,0,60
327,1,2,1.0,36.0,13.0,0,0,1,0.0,0,0,0,1,30
328,1,1,1.0,31.0,20.525,0,0,1,1.0,0,0,0,1,30
329,1,3,1.0,16.0,57.9792,1,0,0,1.0,0,1,0,0,10
330,1,1,1.0,9.965444864692493,23.25,0,1,0,1.0,0,1,0,0,1
331,0,3,0.0,45.5,28.5,0,0,1,0.0,0,0,1,0,40
332,0,3,0.0,38.0,153.4625,0,0,1,1.0,0,0,1,0,30
333,0,1,0.0,16.0,18.0,0,0,1,1.0,0,0,1,0,10
334,1,3,1.0,39.916408721218616,133.65,0,0,1,1.0,0,0,0,1,30
335,0,1,0.0,29.550681762601315,7.8958,0,0,1,0.0,0,0,1,0,20
336,0,3,0.0,29.0,66.6,0,0,1,1.0,0,0,1,0,20
337,1,3,1.0,41.0,134.5,1,0,0,1.0,0,1,0,0,40
338,1,1,0.0,45.0,8.05,0,0,1,0.0,0,0,1,0,40
339,0,3,0.0,45.0,35.5,0,0,1,0.0,0,0,1,0,40
340,1,2,0.0,2.0,26.0,0,0,1,1.0,1,0,0,0,1
341,1,3,1.0,24.0,263.0,0,0,1,1.0,0,1,0,0,20
342,0,2,0.0,28.0,13.0,0,0,1,0.0,0,0,1,0,20
343,0,2,0.0,25.0,13.0,0,0,1,0.0,0,0,1,0,20
344,0,2,0.0,36.0,13.0,0,0,1,0.0,0,0,1,0,30
345,1,2,1.0,24.0,13.0,0,0,1,0.0,0,1,0,0,20
346,1,2,1.0,40.0,13.0,0,0,1,0.0,0,1,0,0,30
347,1,1,1.0,32.508197431460786,16.1,0,0,1,1.0,0,0,0,1,30
348,1,1,0.0,3.0,15.9,0,0,1,1.0,1,0,0,0,1
349,0,1,0.0,42.0,8.6625,0,0,1,0.0,0,0,1,0,40
350,0,1,0.0,23.0,9.225,0,0,1,0.0,0,0,1,0,20
351,0,3,0.0,46.049578020368024,35.0,0,0,1,0.0,0,0,1,0,40
352,0,1,0.0,15.0,7.2292,1,0,0,1.0,0,0,1,0,10
353,0,1,0.0,25.0,17.8,0,0,1,1.0,0,0,1,0,20
354,0,1,0.0,29.550681762601315,7.225,1,0,0,0.0,0,0,1,0,20
355,0,1,0.0,28.0,9.5,0,0,1,0.0,0,0,1,0,20
356,1,3,1.0,22.0,55.0,0,0,1,1.0,0,1,0,0,20
